,vol,issue,index,type,title,num_citations
785,79,6,11,Research article,Connective Tissue Growth Factor Regulates Interneuron Survival and Information Processing in the Olfactory Bulb,44
786,79,6,12,Research article,Erbb4 Deletion from Fast-Spiking Interneurons Causes Schizophrenia-like Phenotypes,215
787,79,6,13,Research article,CYFIP1 Coordinates mRNA Translation and Cytoskeleton Remodeling to Ensure Proper Dendritic Spine Formation,187
788,79,6,14,Research article,A Presynaptic ENaC Channel Drives Homeostatic Plasticity,76
789,79,6,15,Research article,Inhibitory Gradient along the Dorsoventral Axis in the Medial Entorhinal Cortex,81
790,79,6,16,Research article,A Cortico-Hippocampal Learning Rule Shapes Inhibitory Microcircuit Activity to Enhance Hippocampal Information Flow,101
791,79,6,17,Research article,In the Mind of the Market: Theory of Mind Biases Value Computation during Financial Bubbles,102
792,79,6,18,Research article,Perirhinal-Hippocampal Connectivity during Reactivation Is a Marker for Object-Based Memory Consolidation,52
799,80,1,4,Review article,"Hox Genes: Choreographers in Neural Development, Architects of Circuit Organization",247
800,80,1,5,Review article,The Structure of Cognition: Attentional Episodes in Mind and Brain,330
804,80,1,9,Research article,Neuroprotection through Excitability and mTOR Required in ALS Motoneurons to Delay Disease and Extend Survival,215
805,80,1,10,Research article,Christianson Syndrome Protein NHE6 Modulates TrkB Endosomal Signaling Required for Neuronal Circuit Development,94
806,80,1,11,Research article,The Specific α-Neurexin Interactor Calsyntenin-3 Promotes Excitatory and Inhibitory Synapse Development,110
807,80,1,12,Research article,Cornichons Control ER Export of AMPA Receptors to Regulate Synaptic Excitability,50
808,80,1,13,Research article,Cytosolic Transmitter Concentration Regulates Vesicle Cycling at Hippocampal GABAergic Terminals,26
809,80,1,14,Research article,Repeated Cocaine Weakens GABAB-Girk Signaling in Layer 5/6 Pyramidal Neurons in the Prelimbic Cortex,79
810,80,1,15,Research article,Short Neuropeptide F Is a Sleep-Promoting Inhibitory Modulator,100
811,80,1,16,Research article,A Predictive Network Model of Cerebral Cortical Connectivity Based on a Distance Rule,234
812,80,1,17,Research article,Environmental Enrichment Rescues Binocular Matching of Orientation Preference in Mice that Have a Precocious Critical Period,46
813,80,1,18,Research article,Plasticity of Recurrent L2/3 Inhibition and Gamma Oscillations by Whisker Experience,30
814,80,1,19,Research article,Cortical Signals for Rewarded Actions and Strategic Exploration,43
815,80,1,20,Research article,Dynamic Construction of a Coherent Attentional State in a Prefrontal Cell Population,43
825,80,2,9,Review article,How to Pick a Graduate Advisor,26
826,80,2,10,Review article,Noncanonical Roles of Voltage-Gated Sodium Channels,159
827,80,2,11,Review article,Kainate Receptors in Health and Disease,210
832,80,2,16,Research article,Subthreshold Mechanisms Underlying State-Dependent Modulation of Visual Responses,203
833,80,2,17,Research article,In Vivo Expression of a Light-Activatable Potassium Channel Using Unnatural Amino Acids,81
834,80,2,18,Research article,Cellular Resolution Functional Imaging in Behaving Rats Using Voluntary Head Restraint,74
835,80,2,19,Research article,ADAM10 Missense Mutations Potentiate β-Amyloid Accumulation by Impairing Prodomain Chaperone Function,164
836,80,2,20,Research article,Anti-Tau Antibodies that Block Tau Aggregate Seeding In Vitro Markedly Decrease Pathology and Improve Cognition In Vivo,428
837,80,2,21,Research article,RNA Toxicity from the ALS/FTD C9ORF72 Expansion Is Mitigated by Antisense Intervention,729
838,80,2,22,Research article,Deficiency of Asparagine Synthetase Causes Congenital Microcephaly and a Progressive Form of Encephalopathy,112
839,80,2,23,Research article,Precursor Diversity and Complexity of Lineage Relationships in the Outer Subventricular Zone of the Primate,287
840,80,2,24,Research article,Establishment of Neurovascular Congruency in the Mouse Whisker System by an Independent Patterning Mechanism,16
841,80,2,25,Research article,Lipid-Anchored SNAREs Lacking Transmembrane Regions Fully Support Membrane Fusion during Neurotransmitter Release,95
842,80,2,26,Research article,Impaired Hippocampal Ripple-Associated Replay in a Mouse Model of Schizophrenia,89
843,80,2,27,Research article,"The Basal Ganglia Is Necessary for Learning Spectral, but Not Temporal, Features of Birdsong",110
844,80,2,28,Research article,Neural Estimates of Imagined Outcomes in the Orbitofrontal Cortex Drive Behavior and Learning,67
849,80,3,1,Review article,Behind the Covers,17
850,80,3,2,Review article,The New Science of Mind and the Future of Knowledge,46
851,80,3,3,Review article,Twenty-Five Years of Progress: The View from NIMH and NINDS,78
852,80,3,4,Review article,Engineering Approaches to Illuminating Brain Structure and Dynamics,124
853,80,3,5,Review article,Progress in the Genetics of Polygenic Brain Disorders: Significant New Challenges for Neurobiology,84
854,80,3,6,Review article,Neural Stem Cells: Generating and Regenerating the Brain,441
855,80,3,7,Review article,The Neuron Identity Problem: Form Meets Function,98
856,80,3,8,Review article,Evolving Concepts of Gliogenesis: A Look Way Back and Ahead to the Next 25 Years,116
857,80,3,9,Review article,The Emerging Field of Neuroepigenetics,272
858,80,3,10,Review article,Cortical Evolution: Judge the Brain by Its Cover,371
859,80,3,11,Review article,The Central Dogma Decentralized: New Perspectives on RNA Function and Local Translation in Neurons,417
860,80,3,12,Review article,Conduits of Life’s Spark: A Perspective on Ion Channel Research since the Birth of Neuron,36
861,80,3,13,Review article,Neurotransmitter Release: The Last Millisecond in the Life of a Synaptic Vesicle,769
862,80,3,14,Review article,The Dynamic Synapse,351
863,80,3,15,Review article,AMPARs and Synaptic Plasticity: The Last 25 Years,667
864,80,3,16,Review article,Homeostatic Signaling and the Stabilization of Neural Function,196
865,80,3,17,Review article,Activity-Dependent Neural Plasticity from Bench to Bedside,152
866,80,3,18,Review article,Memorable Trends,59
867,80,3,19,Review article,"Scaling Brain Size, Keeping Timing: Evolutionary Preservation of Brain Rhythms",513
868,80,3,20,Review article,Grid Cells and Neural Coding in High-End Cortices,52
869,80,3,21,Review article,Cartography and Connectomes,85
870,80,3,22,Review article,Decision Making as a Window on Cognition,392
871,80,3,23,Review article,The Cerebellum and Cognitive Function: 25 Years of Insight from Anatomy and Neuroimaging,653
872,80,3,24,Review article,Toward a Neural Basis for Social Behavior,154
877,80,4,4,Review article,The Pathobiology of Vascular Dementia,1028
878,80,4,5,Review article,Intrinsic Coupling Modes: Multiscale Interactions in Ongoing Brain Activity,318
880,80,4,7,Research article,Chronic Cellular Imaging of Entire Cortical Columns in Awake Mice Using Microprisms,158
882,80,4,9,Research article,Locomotor Rhythm Generation Linked to the Output of Spinal Shox2 Excitatory Interneurons,133
883,80,4,10,Research article,Reelin Mobilizes a VAMP7-Dependent Synaptic Vesicle Pool and Selectively Augments Spontaneous Neurotransmission,101
884,80,4,11,Research article,Synaptotagmin-1 and Synaptotagmin-7 Trigger Synchronous and Asynchronous Phases of Neurotransmitter Release,201
885,80,4,12,Research article,Adaptation of Mammalian Auditory Hair Cell Mechanotransduction Is Independent of Calcium Entry,83
886,80,4,13,Research article,Dynamic Interactions Mediated by Nonredundant Signaling Mechanisms Couple Circadian Clock Neurons,149
887,80,4,14,Research article,Noncanonical FK506-Binding Protein BDBT Binds DBT to Enhance Its Circadian Function and Forms Foci at Night,18
888,80,4,15,Research article,Disruption of Dopamine Neuron Activity Pattern Regulation through Selective Expression of a Human KCNN3 Mutation,49
889,80,4,16,Research article,Odor Discrimination Requires Proper Olfactory Fast Oscillations in Awake Mice,101
890,80,4,17,Research article,Expression of Cocaine-Evoked Synaptic Plasticity by GluN3A-Containing NMDA Receptors,90
891,80,4,18,Research article,A Unique Population of Ventral Tegmental Area Neurons Inhibits the Lateral Habenula to Promote Reward,266
892,80,4,19,Research article,Fear Extinction Causes Target-Specific Remodeling of Perisomatic Inhibitory Synapses,126
893,80,4,20,Research article,Optogenetic Activation of an Inhibitory Network Enhances Feedforward Functional Connectivity in Auditory Cortex,78
894,80,4,21,Research article,Attentional Modulation of Cell-Class-Specific Gamma-Band Synchronization in Awake Monkey Area V4,126
895,80,4,22,Research article,Dissociable Effects of Dopamine and Serotonin on Reversal Learning,161
902,80,5,3,Review article,EEG and MEG: Relevance to Neuroscience,508
903,80,5,4,Review article,A Role for Correlated Spontaneous Activity in the Assembly of Neural Circuits,232
904,80,5,5,Research article,A Modular Gain-of-Function Approach to Generate Cortical Interneuron Subtypes from ES Cells,32
907,80,5,8,Research article,Regulation of Axon Degeneration after Injury and in Development by the Endogenous Calpain Inhibitor Calpastatin,129
908,80,5,9,Research article,A PDF/NPF Neuropeptide Signaling Circuitry of Male Drosophila melanogaster Controls Rival-Induced Prolonged Mating,59
909,80,5,10,Research article,A Tale of Two Retinal Domains: Near-Optimal Sampling of Achromatic Contrasts in Natural Scenes through Asymmetric Photoreceptor Distribution,106
910,80,5,11,Research article,Parvalbumin-Expressing Interneurons Linearly Control Olfactory Bulb Output,142
911,80,5,12,Research article,Dissecting Local Circuits: Parvalbumin Interneurons Underlie Broad Feedback Control of Olfactory Bulb Output,193
912,80,5,13,Research article,Encoding of Mixtures in a Simple Olfactory System,48
913,80,5,14,Research article,Inhibition-Induced Theta Resonance in Cortical Circuits,219
914,80,5,15,Research article,Cingulate-Hippocampus Coherence and Trajectory Coding in a Sequential Choice Task,44
915,80,5,16,Research article,Functional Connectivity between Amygdala and Cingulate Cortex for Adaptive Aversive Learning,98
916,80,5,17,Research article,Spike-Timing-Dependent Plasticity in Primate Corticospinal Connections Induced during Free Behavior,107
917,80,5,18,Research article,Diverse Spatial Reference Frames of Vestibular Signals in Parietal Cortex,62
918,80,5,19,Research article,Neuronal Origins of Choice Variability in Economic Decisions,113
923,80,6,4,Review article,Biomarker Modeling of Alzheimer’s Disease,630
925,80,6,6,Research article,GENSAT BAC Cre-Recombinase Driver Lines to Study the Functional Organization of Cerebral Cortical and Basal Ganglia Circuits,354
927,80,6,8,Research article,Zic2-Dependent Axon Midline Avoidance Controls the Formation of Major Ipsilateral Tracts in the CNS,49
928,80,6,9,Research article,EphrinB3/EphA4-Mediated Guidance of Ascending and Descending Spinal Tracts,48
929,80,6,10,Research article,"Kinesin-1 Regulates Synaptic Strength by Mediating the Delivery, Removal, and Redistribution of AMPA Receptors",60
930,80,6,11,Research article,Variable Dendritic Integration in Hippocampal CA3 Pyramidal Neurons,65
931,80,6,12,Research article,Balanced Synaptic Impact via Distance-Dependent Synapse Distribution and Complementary Expression of AMPARs and NMDARs in Hippocampal Dendrites,33
932,80,6,13,Research article,Diminished FoxP2 Levels Affect Dopaminergic Modulation of Corticostriatal Signaling Important to Song Variability,114
933,80,6,14,Research article,Membrane Potential Dynamics of Neocortical Projection Neurons Driving Target-Specific Signals,128
934,80,6,15,Research article,Synaptic Encoding of Fear Extinction in mPFC-amygdala Circuits,215
935,80,6,16,Research article,Neural Representation of Orientation Relative to Gravity in the Macaque Cerebellum,60
936,80,6,17,Research article,Effects of Amygdala Lesions on Reward-Value Coding in Orbital and Medial Prefrontal Cortex,117
937,80,6,18,Research article,An Optimal Decision Population Code that Accounts for Correlated Variability Unambiguously Predicts a Subject’s Choice,21
938,80,6,19,Research article,Supervised Calibration Relies on the Multisensory Percept,22
939,80,6,20,Research article,The Behavioral and Neural Mechanisms Underlying the Tracking of Expertise,87
